Movie,Article Date,Article Title,Article Description,Topics,Open Coding,Annotation,Annotation,Names,,,,,Open Coding,,,,,,,,Movie
Oppenheimer,2023-10-21T21:15:00Z,"Christopher Nolan rejects the idea that Oppenheimer is a ""biopic""","Despite having made what is, at least at first blush, a pretty definitive biographical picture about the life of J. Robert Oppenheimer, Christopher Nolan says he rejects the “biopic” label for his recent blockbuster historical film, Oppenheimer. That’s per Va…",Production,Production,Production,Production,Zafeerah,Introduction (0.5 page) – General overview and key findings + abstract,,,,Production,,production,making of film,behind the scenes,,,,Oppenheimer
Oppenheimer,2023-10-24T12:00:00Z,Christopher Nolan's Oppenheimer Research Unearthed A Detail Historians Missed,"In researching Oppenheimer, Christopher Nolan uncovered a key detail about David Hill (Rami Malek) that the authors of the film&amp;#39;s source material had missed.",Production,Production,Production,Production,,,,,,Actor/Director,,,,,,,,Spider-Man: Across the Spider-Verse
Oppenheimer,2023-10-24T13:00:10Z,Cillian Murphy Dreaded A Key Scene In Oppenheimer – Now He'll Never Forget It,"Cillian Murphy had to deliver a physics lecture in Dutch in Oppenheimer. Luckily, he had a co-worker who could give him some pointers.",Actor/Director,Actor,Actor/Director,Actor/Director,Zafeerah,"Data (0.5 page) – describe your dataset. This should include statistics relevant to the project – the number of articles you collected, filtering you did, and any design decisions you had to make around the collection of this content.",,,,Story Telling,,plot explained/teaser,,,,,,Mission: Impossible - Dead Reckoning Part One
Oppenheimer,2023-11-11T04:45:00Z,Something Surprised Christopher Nolan When He Snuck Into A Screening Of Oppenheimer,"Christopher Nolan had to see for himself whether Oppenheimer is truly succeeding at gripping audiences, and what he saw pleased him very much.",Actor/Director,Director,Actor/Director,Actor/Director,,Describe code (articels for each movie etc) ,,,,Release and Promotion,,theatre,film event,release,fans,,,Past Lives
Oppenheimer,2023-10-26T11:22:17Z,Peacock Lost $565 Million This Summer,"The NBCUniversal streaming service gained 4 million subscribers in Q3, while ""Oppenheimer"" did anything but bomb at the box office.",Economic Aspects,Box Office,Economic Aspects,Economic Aspects,Hazel,Methods (0.5 page) - explanation and justification for what you did. Focus on the design decisions you made NOT listed in this document that impacted your results. mention open coding,,,,Economic Aspects,,Box office,quarter3 earnings,,,,,Anatomy of a Fall
Oppenheimer,2023-10-26T12:45:00Z,Alden Ehrenreich's Oppenheimer Character Doesn't Have A Name For A Specific Reason,"The only name given to Alden Ehrenreich&rsquo;s Oppenheimer character is Senate Aide. In a new book, we find out why.",Story Telling,Plot Explained/Teaser,Story Telling,Story Telling,,"Justification for filters, justification for movies - why we selected highest grossing (similar to oppenheimer) | time bias/filter bias -> filtering we did | filter bias led to some topics being more heavily occupied | geographical bias (language, where movie was made)",,,,Comparison,,,,,,,,The Holdovers
Oppenheimer,2023-10-26T11:45:00Z,A Sneaky Trip To Los Alamos Helped Christopher Nolan With An Oppenheimer Block,"In the book Unleashing Oppenheimer: Inside Christopher Nolan&amp;#39;s Explosive Atomic-Age Thriller, the writer/director shares how a family trip informed the film.",Actor/Director,Director,Actor/Director,Actor/Director,Jacob/Jaewon,"Results (1 pages) - share all your findings including the topics selected (and their definitions), topic characterization, and topic engagement. (Q1/Q2)",,,,Review,,,,,,,,About Dry Grasses
Oppenheimer,2023-10-25T15:00:00Z,Oppenheimer Had A Little Help From The Creator Of Game Of Thrones And His Dragon Train,"For a train scene in Oppenheimer, director Christopher Nolan hopped on board one of George R.R. Martin&amp;#39;s dragon trains at Sky Railway in New Mexico.",Production,making of film(production details),Production,Production,,Q1 | Q2 | td - idf | Topics selected/ definitions | topic engagement,,,,,,,,,,,,Fallen Leaves
Oppenheimer,2023-11-11T18:00:38Z,Christopher Nolan Thinks Oppenheimer's Pitch-Black Ending Is Inevitable,Oppenheimer director Christopher Nolan has some rather bleak thoughts about the end of the movie and the end of the world.,Actor/Director,Director,Actor/Director,Actor/Director,,Jaewon - Q1/tf-idf         | Jacob - Q2/topics selected/definition,,,,,,,,,,,,The Zone of Interest
Oppenheimer,2023-10-28T21:36:28Z,"Christopher Nolan Doesn’t Like the Term ‘Biopic,’ Says the Concept ‘Fails You Completely as a Genre’","Nolan doesn't see ""Oppenheimer"" as a biopic because it covers a narrow section of its subject's life — and believes the film is more comparable to a heist movie.",Actor/Director,Director,Actor/Director,Actor/Director,,Discussion (1 pages) - interpret your results in terms of what they reveal about the way each candidate was being discussed and perceived. Make extensive use of your results to justify your interpretations.,,,,,,,,,,,,Poor Things
